,signup_year,total_users,year_number,percentage
0,2008,21689,0,73.57646733367145
1,2008,21689,1,64.20766287057955
2,2008,21689,2,51.23334409147494
3,2008,21689,3,46.70570335192955
4,2008,21689,4,40.084835630965
5,2008,21689,5,34.51058140071004
6,2008,21689,6,29.176080040573563
7,2008,21689,7,25.316980958089353
8,2008,21689,8,22.1679192217253
9,2008,21689,9,19.341601733597678
10,2009,78159,0,54.40832149848386
11,2009,78159,1,40.73107383666628
12,2009,78159,2,36.07901841118745
13,2009,78159,3,31.190265996238438
14,2009,78159,4,27.152343300195756
15,2009,78159,5,23.252600468276206
16,2009,78159,6,20.05655138883558
17,2009,78159,7,17.39275067490628
18,2009,78159,8,14.69696388131885
19,2010,199550,-2,0.0005011275369581559
20,2010,199550,-1,0.003006765221748935
21,2010,199550,0,41.78050613881233
22,2010,199550,1,23.011275369581558
23,2010,199550,2,19.874216988223502
24,2010,199550,3,17.43773490353295
25,2010,199550,4,15.011275369581558
26,2010,199550,5,12.877975444750689
27,2010,199550,6,11.05687797544475
28,2010,199550,7,9.471811576046104
29,2011,359548,-2,0.001112507926618977
30,2011,359548,-1,0.00194688887158321
31,2011,359548,0,34.368429250058405
32,2011,359548,1,20.347491850879436
33,2011,359548,2,18.00788768119973
34,2011,359548,3,15.309777832167054
35,2011,359548,4,12.977683090992024
36,2011,359548,5,11.00659717200485
37,2011,359548,6,9.307797568057673
38,2012,680777,-4,0.00014689097898430763
39,2012,680777,-3,0.00044067293695292293
40,2012,680777,-2,0.00029378195796861525
41,2012,680777,-1,0.0019095827267959992
42,2012,680777,0,23.155453254149304
43,2012,680777,1,14.266639442871895
44,2012,680777,2,11.770814818949523
45,2012,680777,3,10.140178061244725
46,2012,680777,4,8.681109966993597
47,2012,680777,5,7.4268078974465945
48,2013,1125990,-5,8.881073544170019e-05
49,2013,1125990,-4,0.00017762147088340037
50,2013,1125990,-3,0.00017762147088340037
51,2013,1125990,-2,0.0010657288253004024
52,2013,1125990,-1,0.001865025444275704
53,2013,1125990,0,15.846854767804333
54,2013,1125990,1,9.088801854368157
55,2013,1125990,2,7.512766543219745
56,2013,1125990,3,6.506008046252631
57,2013,1125990,4,5.617634259629304
58,2014,1179441,-3,0.00016957185649812072
59,2014,1179441,-2,0.00025435778474718106
60,2014,1179441,-1,0.0016109326367321469
61,2014,1179441,0,13.96449674040499
62,2014,1179441,1,7.585712214515182
63,2014,1179441,2,6.10331504500861
64,2014,1179441,3,5.191357600761717
65,2015,1258513,-5,7.945885342463685e-05
66,2015,1258513,-4,0.0001589177068492737
67,2015,1258513,-3,0.0003178354136985474
68,2015,1258513,-2,0.0003178354136985474
69,2015,1258513,-1,0.0006356708273970948
70,2015,1258513,0,13.048891827100713
71,2015,1258513,1,6.784673658516042
72,2015,1258513,2,5.363949359283535
73,2016,1559780,-7,6.41116054828245e-05
74,2016,1559780,-5,6.41116054828245e-05
75,2016,1559780,-4,0.0001923348164484735
76,2016,1559780,-3,0.0001923348164484735
77,2016,1559780,-2,0.0003205580274141225
78,2016,1559780,-1,0.000384669632896947
79,2016,1559780,0,10.076228698919078
80,2016,1559780,1,5.35113926322943
81,2017,1737772,-5,5.7544948359163345e-05
82,2017,1737772,-4,5.7544948359163345e-05
83,2017,1737772,-3,0.0002877247417958167
84,2017,1737772,-2,0.00023017979343665338
85,2017,1737772,-1,0.00046035958687330676
86,2017,1737772,0,8.149170316934558
