,signup_month,total_users,month_number,percentage
0,201701,131324,0,6.614937102129085
1,201701,131324,1,1.8541926837440224
2,201701,131324,2,1.325728731991106
3,201701,131324,3,1.0561664280710303
4,201701,131324,4,0.9609819987207213
5,201701,131324,5,0.8894033078492888
6,201701,131324,6,0.897779537632116
7,201701,131324,7,0.8734123237184368
8,201701,131324,8,0.7211172367579421
9,201701,131324,9,0.7317778928451768
10,201701,131324,10,0.7538606804544485
11,201701,131324,11,0.64040084066888
12,201702,136936,0,6.083133726704446
13,201702,136936,1,1.996553134310919
14,201702,136936,2,1.1472512706665887
15,201702,136936,3,1.0004673716188583
16,201702,136936,4,0.8609861541157913
17,201702,136936,5,0.8317754279371385
18,201702,136936,6,0.787229070514693
19,201702,136936,7,0.6660045568732839
20,201702,136936,8,0.6492083893205585
21,201702,136936,9,0.6901034059706724
22,201702,136936,10,0.6017409592802477
23,201703,157566,-1,0.0006346546843862254
24,201703,157566,0,6.299582397217674
25,201703,157566,1,1.708490410367719
26,201703,157566,2,1.1423784318952057
27,201703,157566,3,0.9196146376756407
28,201703,157566,4,0.8574184786057906
29,201703,157566,5,0.7958569742203268
30,201703,157566,6,0.7323915057817042
31,201703,157566,7,0.7044666996687102
32,201703,157566,8,0.7139865199345037
33,201703,157566,9,0.5813436908977825
34,201704,141957,0,5.735539635241658
35,201704,141957,1,1.7138992793592427
36,201704,141957,2,1.0221405073367287
37,201704,141957,3,0.9037948111047711
38,201704,141957,4,0.8530752270053608
39,201704,141957,5,0.7030297907112717
40,201704,141957,6,0.6952809653627507
41,201704,141957,7,0.6699211733130455
42,201704,141957,8,0.6022950611804984
43,201705,146035,0,5.7958708528777345
44,201705,146035,1,1.6817886123189647
45,201705,146035,2,1.0922039237169172
46,201705,146035,3,0.8901975553805594
47,201705,146035,4,0.7566679220734756
48,201705,146035,5,0.7374944362652789
49,201705,146035,6,0.7237990892594242
50,201705,146035,7,0.5574006231382888
51,201706,141307,-3,0.000707679025101375
52,201706,141307,-2,0.00141535805020275
53,201706,141307,-1,0.00141535805020275
54,201706,141307,0,5.744938325772963
55,201706,141307,1,1.7507979081008018
56,201706,141307,2,1.047364957150035
57,201706,141307,3,0.8081694466657703
58,201706,141307,4,0.7098020621766792
59,201706,141307,5,0.7324477909799232
60,201706,141307,6,0.6255882581896155
61,201707,151462,0,5.505011157914196
62,201707,151462,1,1.6967952357687077
63,201707,151462,2,0.9599767598473544
64,201707,151462,3,0.7975597839722175
65,201707,151462,4,0.7592663506358031
66,201707,151462,5,0.6397644293618201
67,201708,145510,0,5.488969830252216
68,201708,145510,1,1.495429867363068
69,201708,145510,2,0.9387670950450141
70,201708,145510,3,0.795821593017662
71,201708,145510,4,0.6150780015119236
72,201709,152879,-6,0.000654112075563027
73,201709,152879,-5,0.000654112075563027
74,201709,152879,-4,0.000654112075563027
75,201709,152879,-2,0.000654112075563027
76,201709,152879,-1,0.000654112075563027
77,201709,152879,0,4.802490858783744
78,201709,152879,1,1.4226937643495836
79,201709,152879,2,0.9412672767351958
80,201709,152879,3,0.7175609468926406
81,201710,159471,0,4.658527255739288
82,201710,159471,1,1.3043123828156844
83,201710,159471,2,0.7625210853384001
84,201711,153292,0,4.878923883829554
85,201711,153292,1,1.2583826944654646
86,201712,120033,0,5.057775778327627
